,"Title", "Authors"
"1","`Advancing hardware security using polymorphic and stochastic spin-hall effect devices <https://ieeexplore.ieee.org/abstract/document/8341986/>`_","Johann Knechtel"
"2","`Jet noise reduction by downstream fluidic injection: effect of injection pressure ratio and number of injection ports <https://arc.aiaa.org/doi/pdf/10.2514/6.2018-0258>`_","Pankaj Rajput"
"3","`Efficient entropy for policy gradient with multidimensional action space <https://arxiv.org/abs/1806.00589>`_","Quan Ho Vuong"
"4","`Directionally targeted jet noise suppression: Benefits of asymmetric downstream fluidic injection <https://arc.aiaa.org/doi/pdf/10.2514/6.2018-3609>`_","Pankaj Rajput"
