,Title,Authors
1,`Variation of Néron-Severi Ranks of Reductions of K3 Surfaces <https://arxiv.org/abs/1405.2265>`_,Edgar Costa
2,`Effective computations of Hasse-Weil zeta functions  <https://math.mit.edu/~edgarc/files/EdgarCosta-PhDthesis.pdf>`_,Edgar Costa
3,`On algorithmization of Janashia-Lagvilava matrix spectral factorization method       <https://ieeexplore.ieee.org/document/8105834/>`_,L Ephremidze
