,Title,Authors/Co-Authors
1,`Causal Discovery in Astrophysics: Unraveling Supermassive Black Hole and Galaxy Coevolution <https://iopscience.iop.org/article/10.3847/1538-4357/ad9ded>`_,Andrea V. Macciò
2,`Gas accretion at high redshift: cold flows all the way <https://arxiv.org/pdf/2501.19009>`_,Andrea V. Macciò
3,`Transient and steady convection in two dimensions <https://arxiv.org/pdf/2503.03080>`_,Ambrish Pandey
4,`Where Have All the Little Red Dots Gone? Supermassive Black Hole Binary Dynamics and its Impact on Galaxy Properties <https://arxiv.org/pdf/2503.07711>`_,Andrea V. Macciò
5,`Radial flow component of Sun’s high frequency retrograde inertial waves <https://arxiv.org/pdf/2503.14995>`_,Chris Hanson
6,`Multiparticle Collision Dynamics Simulations of the Flagellar Apparatus in Chlamydomonas reinhardtii <https://arxiv.org/pdf/2503.20553>`_,Azam Gholami
