,"Title", "Authors"
"1","`Strong intensification of the Arabian Sea oxygen minimum zone in response to Arabian Gulf warming <https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018GL081631>`_","Zouhair Lachkar"
"2","`Major impact of dust deposition on the productivity of the Arabian Sea <https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2019GL082770>`_","Muchamad Al Azhar"
