,Title,Authors/Co-Authors
1,`Solid-State NMR Spectroscopy as a Probe of Noncovalent Interactions <https://chemrxiv.org/doi/pdf/10.26434/chemrxiv.10001830/v1>`_,Brijith Thomas
2,`Quantifying CO2 adsorption motifs in functionalized mesoporous silica using solid-state NMR <https://chemrxiv.org/doi/pdf/10.26434/chemrxiv.15002350/v1>`_,Brijith Thomas
3,`Synthesis structural characterization and molecular docking analysis of novel β-ketoiminato palladium(II) complexes with anticancer properties <https://pubs.rsc.org/en/content/articlehtml/2026/ra/d5ra09325b>`_,Morad Mustafa
4,`Covalent Organic Frameworks with Intrinsic Pendant Aldehydes for Efficient Nitrate Electroreduction <https://onlinelibrary.wiley.com/doi/full/10.1002/smll.202514575>`_,Ali Trabolsi
5,`Removal of H2S from Sour Gas Using MOF-303: Pressure-Dependent Crossover from Desulfurization to Dehydration with Comparison to MOF-333 and MOF-LA2–1 <https://pubs.acs.org/doi/full/10.1021/acs.chemmater.6c00054>`_,Serdal Kirmizialtin
