,"Title", "Authors/Co-Authors"
"1","`Redox‐Responsive Covalent Organic Nanosheets from Viologens and Calix [4] arene for Iodine and Toxic Dye Capture <https://onlinelibrary.wiley.com/doi/abs/10.1002/chem.201800623>`_","Serdal Kirmizialtin"
"2","`The catalytic inactivation of the N-half of human hexokinase 2 and structural and biochemical characterization of its mitochondrial conformation <https://portlandpress.com/bioscirep/article/57169/The-catalytic-inactivation-of-the-N-half-of-human>`_","Wael M. Rabeh"
3,`Calix[4]arene-based Porous Organic Nanosheets <https://pubs.acs.org/doi/abs/10.1021/acsami.8b03800>`_,Serdal Kirmizialtin
4,`Revealing the distinct folding phases of an RNA three-helix junction <https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gky363/4995692>`_,Serdal Kirmizialtin
5,`Comparative Computational Approach To Study Enzyme Reactions Using QM and QM-MM Methods <https://pubs.acs.org/doi/10.1021/acsomega.8b02638>`_,Serdal Kirmizialtin
