,Title,Authors/Co-Authors
1,`Imaging the Sun's near-surface flows using mode-coupling analysis <https://arxiv.org/abs/2201.00178>`_,Chris Hanson
2,`Numerical evaluation of time-distance helioseismic sensitivity kernels in spherical geometry <https://arxiv.org/pdf/2112.13517.pdf>`_,Jishnu Bhattacharya
3,"`Diurnal variation of the surface temperature of Mars with the
Emirates Mars Mission: A comparison with Curiosity and
Perseverance rover measurements <https://arxiv.org/pdf/2204.12850.pdf>`_",Dimitra Atri
4,`Statistical approach to tagging stellar birth groups in the Milky Way <https://scholar.google.com/scholar_url?url=https://academiccommons.columbia.edu/doi/10.7916/hd8x-0g17/download&hl=en&sa=X&d=5719495007541807996&ei=MB_WYvGUD82Ty9YPjPq76AI&scisig=AAGBfm0b8Ub2Gtbo3XGuiIIPFZfs1D_JFg&oi=scholaralrt&hist=WPoU9MQAAAAJ:7022874486945196549:AAGBfm07J3JgDN9xbY_ig5leHNEbRS_lJg&html=&pos=0&folt=kw>`_,Bridget L. Ratcliffe
5,`Metallicity profiles of Ultra Diffuse Galaxies in NIHAO simulations <https://arxiv.org/pdf/2206.10481.pdf>`_,Andrea V. Macciò
6,`Reliability and limitations of inferring birth radii in the Milky Way disk <https://arxiv.org/pdf/2205.00340.pdf>`_,Tobias Buck
7,`Discovery of high-frequency retrograde vorticity waves in the Sun <https://www.nature.com/articles/s41550-022-01632-z.pdf>`_,Chris Hanson
8,`Acoustic detection potential of single minimum ionizing particles in viscous liquids <https://arxiv.org/pdf/2208.12312.pdf>`_,Francesco Arneodo
9,`Auroras on Mars: from Discovery to New Developments <https://web10.arxiv.org/pdf/2209.15229.pdf>`_,Dimitra Atri
10,`A spectral solver for solar inertial waves <https://arxiv.org/pdf/2211.03323.pdf>`_,Jishnu Bhattacharya
11,"`High-resolution resonant portraits of a single-planet white
dwarf system <https://arxiv.org/pdf/2211.04487.pdf>`_",Nikolaos Georgakarakos
12,`Similarities between characteristics of convective turbulence in confined and extended domains <https://www.sciencedirect.com/science/article/pii/S016727892200241X>`_,Ambrish Pandey
13,`A probabilistic deep learning model to distinguish cusps and cores in dwarf galaxies <https://academic.oup.com/mnras/article/519/3/4384/6964650>`_,Andrea V. Macciò
14,`Callisto's Atmosphere: First Evidence for H2 and Constraints on H2O <https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2022JE007294>`_,Shane R. Carberry Moga
15,`NIHAO – XXVIII. Collateral effects of AGN on dark matter concentration and stellar kinematics <https://academic.oup.com/mnras/article/514/4/5307/6576784>`_,Andrea V. Macciò
16,`The diversity of spiral galaxies explained <https://academic.oup.com/mnras/article/514/3/3510/6598821>`_,Andrea V. Macciò
17,`NIHAO-LG: the uniqueness of Local Group dwarf galaxies <https://academic.oup.com/mnras/article/512/4/6134/6562089>`_,Andrea V. Macciò
18,`Using artificial intelligence and real galaxy images to constrain parameters in galaxy formation simulations <https://academic.oup.com/mnras/article/512/2/2135/6534263>`_,Andrea V. Macciò
19,`GCM-motivated Multidimensional Temperature Parametrization Scheme for Phase-curve Retrieval <https://iopscience.iop.org/article/10.3847/1538-4357/ac5898>`_,Ian Dobbs-Dixon
20,`A first estimate of the Milky Way dark matter halo spin <https://www.aanda.org/articles/aa/full_html/2022/01/aa40983-21/aa40983-21.html>`_,Andrea V. Macciò
