,"Title", "Authors"
"1","`Non-degenerate invariant (super) symmetric bilinear forms on simple Lie (super) algebras <https://link.springer.com/article/10.1007/s10468-018-9802-8>`_","Sofiane Bouarroudj"
"2","`Restricted Lie (Super) Algebras in Characteristic 3 <https://link.springer.com/article/10.1007/s10688-018-0206-7>`_","Dimitry Leites"
"3","`On Gradings Modulo 2 of Simple Lie Algebras in Characteristic 2 <https://arxiv.org/abs/1711.00638>`_","Andrey Krutov"
"4","`Variation of Néron-Severi Ranks of Reductions of K3 Surfaces <https://arxiv.org/abs/1405.2265>`_","Edgar Costa"
"5","`Effective computations of Hasse-Weil zeta functions  <https://math.mit.edu/~edgarc/files/EdgarCosta-PhDthesis.pdf>`_","Edgar Costa"
"6","`On algorithmization of Janashia-Lagvilava matrix spectral factorization method       <https://ieeexplore.ieee.org/document/8105834/>`_","L. Ephremidze"
