,Title,Authors/Co-Authors
1,`qMol: A Web Server for Efficient Molecular Queries Using FragmentBased Reduced Graphs <https://pubs.acs.org/doi/pdf/10.1021/acs.jcim.5c02195?ref=article_openPDF>`_,Changge Ji
2,`SAKE-PP: A Spatial-Attention Equivariant Network for Accurate Ranking of Protein–Protein Interaction Models <https://pubs.acs.org/doi/full/10.1021/jacsau.6c00166>`_,John Zhang
3,`Rapid Discovery of (+)-Magnolin as a Selective HCAR1 Inhibitor <https://pubs.rsc.org/cc/article/doi/10.1039/D6CC02998A/1298765/Rapid-Discovery-of-Magnolin-as-a-Selective-HCAR1>`_,John Zhang
