,"Title", "Authors/Co-Authors"
1,"`The strategic pursuit of artificial intelligence in the United Arab Emirates <https://dl.acm.org/doi/abs/10.1145/3447723>`_","Farah Shamout"
2,`Assessment of Artificial Intelligence Techniques for Automated Remote Classification of Cardiac Arrhythmia using Instantaneous Heart Rates <https://ieeexplore.ieee.org/abstract/document/9497825>`_,Sunil Kumar
3,`Fitting Empirical Fundamental Diagrams ofRoad Traffic: A Comprehensive Review andComparison of Models Using an Extensive Data Set <https://www.techrxiv.org/articles/preprint/Fitting_Empirical_Fundamental_Diagrams_of_Road_Traffic_A_Comprehensive_Review_and_Comparison_of_Models_Using_an_Extensive_Data_Set/14769492>`_,D M Bramich
