,"Title", "Authors/Co-Authors"
"1","`The complex non-collinear magnetic orderings in Ba2YOsO6: A new approach to tuning spin-lattice interactions and controlling magnetic orderings in frustrated complex oxides <https://arxiv.org/pdf/1908.01916>`_","Hanghui Chen"
"2","`Design of a multifunctional polar metal via first-principles high-throughput structure screening <https://www.nature.com/articles/s43246-019-0005-6>`_","Yue-Wen Fang"
"3","`Correlation-driven eightfold magnetic anisotropy in a two-dimensional oxide monolayer <https://advances.sciencemag.org/content/6/15/eaay0114.abstract>`_","Jiaji Ma"
"4","`Electronic Properties of Incommensurate Atomic Layers        <https://journals.jps.jp/doi/10.7566/JPSJ.84.121001>`_","Mikito Koshimo"
"5","`A substantial hybridization between correlated Ni-d orbital and itinerant electrons in infinite-layer nickelates <https://www.nature.com/articles/s42005-020-0347-x>`_","Yuhao Gu"
"6","`Linear magnetoresistance with a universal energy scale in a strong-coupling superconductor <https://arxiv.org/pdf/2010.03319.pdf>`_","Yue-Wen Fang"
