,Title,Authors/Co-Authors
1,`Gender inequality and self-publication patterns among scientific editors <https://arxiv.org/pdf/2207.01518.pdf>`_,Fengyuan M. Liu
2,`User-Centric Gender Rewriting <https://arxiv.org/pdf/2205.02211.pdf>`_,Nizar Habash
3,`Camelira: An Arabic Multi-Dialect Morphological Disambiguator <https://arxiv.org/pdf/2211.16807.pdf>`_,Nizar Habash
4,"`Microbiome Classification for Heart Disease
Detection <https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9973613>`_",Mai Oudah
