,Title,Authors/Co-Authors
1,`Causal Reversal in the M•–σ0 Relation:Implications for High-Redshift Supermassive Black Hole Mass Estimates <https://arxiv.org/pdf/2602.16775>`_,Andrea V. Macciò
2,`H I Observations of Giant Low Surface Brightness Galaxies  <https://iopscience.iop.org/article/10.3847/1538-4357/ae421b/pdf>`_,Joseph D. Gelfand
3,`Super-Solar Metallicity and Tentative Evidence for Photochemistry on WASP-96 b from JWST and Ground-Based VLT Transmission Spectroscopy  <https://arxiv.org/pdf/2604.05049>`_,Jasmina Blecic
4,`Influence of plume activity on thermal convection in a rectangular cell  <https://arxiv.org/pdf/2604.11670>`_,Katepalli R.Sreenivasan
5,`Formation of a nuclear star cluster through the inspiral of globular clusters: a case study of the dwarf elliptical galaxy UGC 7346 <https://arxiv.org/pdf/2605.19428>`_,Andrea V. Macciò
6,`Spontaneous flows and interfacial instabilities in oxygen-sensitive living active matter <https://arxiv.org/pdf/2605.31355>`_,Azam Gholami
7,`A FAST search for radio pulsations during the dormant state of the AMSPs IGR J00291+5934 and MAXI J1957+032 <https://arxiv.org/pdf/2606.20086>`_,Andrea V. Macció
8,`Clustering SPH Debris into N-body Fragments: A Collisional Code for Planet Formation <https://arxiv.org/pdf/2606.17348>`_,Ian Dobbs-Dixon
