,Title,Authors/Co-Authors
1,"`On Outage-based Beamforming Design for
Dual-Functional Radar-Communication 6G Systems <https://arxiv.org/pdf/2207.04921.pdf>`_",Marwa Chafii
2,"`FitFun: A Modelling Framework for Successfully Capturing the Functional Form and Noise of Observed Traffic Flow-Density-Speed Relationships <https://www.techrxiv.org/articles/preprint/FitFun_A_Modelling_Framework_for_Successfully_Capturing_the_Functional_Form_and_Noise_of_Observed_Traffic_Flow-Density-Speed_Relationships/22317691>`_",Daniel Bramich
