,Title,Authors/Co-Authors
1,`Light-driven self-assembly of spiropyran-functionalized covalent organic framework <https://www.nature.com/articles/s41467-023-39402-8>`_,Serdal Kirmizialtin
2,`A primer to polarizing agent design: Quantum mechanical understanding of cross effect magic-angle spinning Dynamic Nuclear Polarization <https://www.sciencedirect.com/science/article/pii/S266644102300033X?via%3Dihub>`_,Asif Equbal
3,`An exploration of machine learning models for the determination of reaction coordinates associated with conformational transitions  <https://pubs.aip.org/aip/jcp/article/159/3/034102/2902623>`_,Serdal Kirmizialtin
4,`Dynamic Nuclear Polarization-Enabled Quantum Sensing for Investigating Peptide Configurations    <https://assets.researchsquare.com/files/rs-3193890/v1_covered_49a088a3-6e16-45eb-b2a5-0eea4f657a6b.pdf?c=1690782927>`_,Asif Equbal
5,`Direct Sensing of Remote Nuclei: Expanding the Reach of Cross-Effect Dynamic Nuclear Polarization    <https://arxiv.org/pdf/2309.15653.pdf>`_,Asif Equbal
6,`Atomistic structure of the SARS-CoV-2 pseudoknot in solution from SAXS-driven molecular dynamics    <https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkad809/7306679>`_,Serdal Kirmizialtin
7,`Nucleic Acid Structure and Interactions Revealed by Computer Simulations    <https://www.proquest.com/docview/2884103777?pq-origsite=gscholar&fromopenview=true>`_,Weiwei He
