,"Title", "Authors"
"1","`Directional Noise Reduction via Asymmetric Downstream Fluidic Injection      <https://www.researchgate.net/publication/322392237_Directional_Noise_Reduction_via_Asymmetric_Downstream_Fluidic_Injection>`_","Pankaj Rajput"
"2","`Noise Reduction for an Unheated Mach 0.9 Jet by Fluidic Injection    <https://www.researchgate.net/publication/318144069_Noise_Reduction_for_an_Unheated_Mach_09_Jet_by_Fluidic_Injection>`_","Sunil Kumar"
"3","`Effect of rounding corners on optical resonances in single-mode sharp-cornered microresonators       <https://www.osapublishing.org/ol/abstract.cfm?uri=ol-41-5-878>`_","Sunil Kumar"
