,Title,Authors/Co-Authors
1,`Anatomy of a summertime convective event over the Arabian region <https://journals.ametsoc.org/view/journals/mwre/aop/MWR-D-22-0082.1/MWR-D-22-0082.1.xml>`_,Deepak Gopalakrishnan
2,`Shrinking of the Arabian Sea oxygen minimum zone with climate change projected with a downscaled model <https://www.researchgate.net/profile/Parvathi-Sankar/publication/371165801_Shrinking_of_the_Arabian_Sea_oxygen_minimum_zone_with_climate_change_projected_with_a_downscaled_model/links/6476ec8da25e543829e1a6d9/Shrinking-of-the-Arabian-Sea-oxygen-minimum-zone-with-climate-change-projected-with-a-downscaled-model.pdf>`_,Zouhair Lachkar
3,`Pacific decadal oscillation causes fewer near-equatorial cyclones in the North Indian Ocean  <https://www.nature.com/articles/s41467-023-40642-x>`_,R S Ajayamohan
