,"Title", "Authors"
"1","`NIHAO–XXIII. Dark matter density shaped by black hole feedback <https://academic.oup.com/mnrasl/article-abstract/495/1/L46/5817315>`_","Andrea V Macciò"
"2","`Stellar Proton Event-induced surface radiation dose as a constraint on the habitability of terrestrial exoplanets <https://academic.oup.com/mnrasl/article-abstract/492/1/L28/5612190>`_","Dimitra Atri"
"3","`Plucking the Web: Searching Unidentified Gamma-ray Sources for Spider Pulsars using Jerksearch Algorithm <https://ui.adsabs.harvard.edu/abs/2020AAS...23530217T/abstract>`_","Shawaiz Tabassum"
"4","`Simulations of satellite tidal debris in the Milky Way halo <https://www.aanda.org/articles/aa/abs/2020/04/aa37558-20/aa37558-20.html>`_","Andrea V Macciò"
"5","`NIHAO-UHD: the properties of MW-like stellar discs in high-resolution cosmological simulations <https://academic.oup.com/mnras/article-abstract/491/3/3461/5634276>`_","Andrea V Macciò"
"6","`The Dekel+ profile: a mass-dependent dark-matter density profile with flexible inner slope and analytic potential, velocity dispersion, and lensing properties <https://arxiv.org/abs/2004.08395>`_","Andrea V Macciò"
"7","`The Ultraluminous X-ray sources population of the galaxy NGC 7456 <https://iopscience.iop.org/article/10.3847/1538-4357/ab6ffd/meta>`_","Federico Bernardini"
"8","`On the origin of the chemical bimodality of disc stars: a tale of merger and migration <https://academic.oup.com/mnras/article-abstract/491/4/5435/5643926>`_","Tobias Buck"
"9","`Detection of exomoons in simulated light curves with a regularized convolutional neural network <http://scholar.google.com/scholar_url?url=https://arxiv.org/pdf/2005.13035&hl=en&sa=X&d=10664625602253242554&scisig=AAGBfm2PhpIfoAA7HD8UDqrskecNj8OERw&nossl=1&oi=scholaralrt&hist=WPoU9MQAAAAJ:610903001825142744:AAGBfm3RWSP-esz9Wtc-qwpMNA4g0usriA>`_","Rasha Alshehhi"
