,Title,Authors/Co-Authors
1,"`Subtropical jet regulates Arabian winter precipitation: A viable mechanism <https://journals.ametsoc.org/view/journals/atsc/aop/JAS-D-23-0213.1/JAS-D-23-0213.1.xml>`_",Olivier M Pauluis
2,"`Selection of the fittest or selection of the luckiest: the emergence of Goodhart’s law in evolution <https://arxiv.org/pdf/2503.21849>`_",Francesco Paparella
3,"`Understanding Non-Covalent Interactions in Diphenyldiselenide and Diphenylselenide Cocrystals Using a Combined 77Se Magic-Angle Spinning Solid-State NMR and Quantum Chemical Analysis Approach <https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5c01979>`_","Brijith Thomas"
4,"`Origin and effects of resolution-dependent discretization biases in ocean biogeochemical simulations <https://d197for5662m48.cloudfront.net/documents/publicationstatus/293466/preprint_pdf/290c20823e9547696d938a4127d89714.pdf>`_","Francesco Paparella"
