,"Title", "Authors"
1,"`Large-scale genome sequencing reveals the driving forces of viruses in microalgal evolution <https://www.sciencedirect.com/science/article/pii/S1931312820306673>`_"," David Nelson"
2,"`Mitogenome analyses elucidate the evolutionary relationships of a probable Eocene wet tropics relic in the xerophilic lizard genus Acanthodactylus <https://www.nature.com/articles/s41598-021-83422-7>`_"," Sebastian Kirchhof"
3,"`Historical contingency, geography and anthropogenic patterns of exposure drive the evolution of host switching in the Blastocystis species-complex <https://www.cambridge.org/core/journals/parasitology/article/historical-contingency-geography-and-anthropogenic-patterns-of-exposure-drive-the-evolution-of-hostswitching-in-the-blastocystis-speciescomplex/84F468A63F15C761AF40620463354E2D>`_"," Justin Wilcox"
