,Title,Authors/Co-Authors
1,"`Gender inequality and self-publication are
common among academic editors <https://www.nature.com/articles/s41562-022-01498-1>`_",Talal Rahwan
2,"`Non-White scientists appear on fewer editorial boards, spend
more time under review, and receive fewer citations <https://www.pnas.org/doi/pdf/10.1073/pnas.2215324120>`_",Talal Rahwan
3,`An Imageless Internet <https://yasirzaki.net/capstones/Joseph_capstone.pdf>`_,Yasir Zaki
4,`Identifying Heat-Resilient Corals Using Machine Learning and Microbiome  <https://link.springer.com/chapter/10.1007/978-3-031-38079-2_6>`_,Mai Oudah
5,`Machine Learning Based Screening Tool for Alzheimer’s Disease via Gut Microbiome  <https://link.springer.com/chapter/10.1007/978-3-031-38079-2_7>`_,Mai Oudah
