,"Title", "Authors"
"1","`Thermochemiluminescent peroxide crystals <https://www.nature.com/articles/s41467-019-08816-8>`_","Panče Naumov"
"2","`A polyrotaxanated covalent organic network based on viologen and cucurbit [7] uril <https://www.nature.com/articles/s42004-019-0207-3>`_","Serdal Kirmizialtin"
"3","`Reversible Multicolor Photochromism of Dihydroazulene Crystals <https://onlinelibrary.wiley.com/doi/abs/10.1002/chem.201804677>`_","Panče Naumov"
4,`Cryo_fit: Democratization of flexible fitting for cryo-EM <https://www.sciencedirect.com/science/article/pii/S1047847719301285>`_,Serdal Kirmizialtin
