,"Title", "Authors/Co-Authors"
"1","`More Than a Feeling: Personality, Polarization, and the Transformation of the US Congress    <https://press.uchicago.edu/ucp/books/book/chicago/M/bo25956761.html>`_","Adam J. Ramey"
"2","`What's in a Name? A Method for Extracting Information about Ethnicity from Names     <https://www.cambridge.org/core/journals/political-analysis/article/whats-in-a-name-a-method-for-extracting-information-about-ethnicity-from-names/8A97A3091967FAA124150145DD9B9B37>`_","Andrew Harris"
"3","`Asymmetric Effects of Exogenous Tax Changes  <https://www.sciencedirect.com/science/article/abs/pii/S0165188916300999>`_","Samreen Malik"
