,"Title", "Authors/Co-Authors"
"1","`A Dissimilarity Measure for Comparing Origami Crease Patterns        <https://erikdemaine.org/papers/OrigamiSimilarity_ICPRAM2015/paper.pdf>`_","Seung man oh"
"2","`An Empirical Comparison of Support Vector Machines Versus Nearest Neighbour Methods for Machine Learning Applications        <https://www.researchgate.net/publication/300227282_An_Empirical_Comparison_of_Support_Vector_Machines_Versus_Nearest_Neighbour_Methods_for_Machine_Learning_Applications>`_","Mori gamboni"
