,"Title", "Authors/Co-Authors"
"1","`Polar jet associated circulation triggered a Saharan cyclone and derived the poleward transport of the African dust generated by the cyclone <https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018JD029095>`_","Diana Francis"
"2","`Modulation of winter precipitation dynamics over the Arabian Gulf by ENSO <https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2017JD027263>`_","R S Ajayamohan"
"3","`Intensification and deepening of the Arabian Sea oxygen minimum zone in response to increase in Indian monsoon wind intensity. <https://www.researchgate.net/profile/Zouhair_Lachkar/publication/322367860_Intensification_and_deepening_of_the_Arabian_Sea_oxygen_minimum_zone_in_response_to_increase_in_Indian_monsoon_wind_intensity/links/5b0116740f7e9be94bd8eb9b/Intensification-and-deepening-of-the-Arabian-Sea-oxygen-minimum-zone-in-response-to-increase-in-Indian-monsoon-wind-intensity.pdf>`_","Zouhair Lachkar"
"4","`Atmospheric overturning across multiple scales of an MJO event during the CINDY/DYNAMO campaign <https://journals.ametsoc.org/doi/abs/10.1175/JAS-D-17-0060.1>`_","Olivier M Pauluis"
"5","`Multiscale atmospheric overturning of the Indian summer monsoon as seen through isentropic analysis <https://journals.ametsoc.org/doi/abs/10.1175/JAS-D-18-0068.1>`_","Olivier M Pauluis"
"6","`Decline and poleward shift in Indian summer monsoon synoptic activity in a warming climate <https://www.pnas.org/content/115/11/2681.short>`_","R S Ajayamohan"
"7","`Indo-Pacific variability on seasonal to multidecadal time scales. Part II: Multiscale atmosphere–ocean linkages <https://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-17-0031.1>`_","Dimitrios Giannakis"
