,Title,Authors/Co-Authors
1,"`A Machine Learning Approach for Malware
Detection based on Image Conversion  <https://assets.researchsquare.com/files/rs-3832623/v1_covered_d984b026-90c7-4abc-9f1c-e7ad6eb8f96f.pdf?c=1704954448>`_","
Abir LAOUADI "
2,`Google Scholar is manipulatable  <https://arxiv.org/pdf/2402.04607.pdf>`_,"
Hazem Ibrahim "
3,"`XGExplainer: Robust Evaluation-based Explanation for Graph Neural
Networks  <https://epubs.siam.org/doi/pdf/10.1137/1.9781611978032.8>`_","
Djellel Difallah"
4,`Building a Specialized ChatGpt-Like System  <https://www.researchgate.net/profile/Nassim-Boudjenah/publication/381996102_Building_a_Specialized_ChatGpt-Like_System/links/668716052aa57f3b826eafb4/Building-a-Specialized-ChatGpt-Like-System.pdf>`_,Mohamed Riyadh Baghdadi
5,`Investigating the Impact of Bio-Inspired Deep-Learning Components in Image Retrieval Algorithms <https://www.researchgate.net/publication/382240161_Investigating_the_Impact_of_Bio-Inspired_Deep-Learning_Components_in_Image_Retrieval_Algorithms>`_,Mohamed Riyadh Baghdadi
6,"`Automatic Code Optimization using
Reinforcement Learning in the Tiramisu Compiler  <https://www.researchgate.net/profile/Kamel-Brouthen/publication/385698736_Automatic_Code_Optimization_using_Reinforcement_Learning_in_the_Tiramisu_Compiler/links/6731143adb208342def75259/Automatic-Code-Optimization-using-Reinforcement-Learning-in-the-Tiramisu-Compiler.pdf>`_",Mohamed Riyadh Baghdadi
7,`LOOPer: A Learned Automatic Code Optimizer For Polyhedral Compilers  <https://arxiv.org/abs/2403.11522>`_,Mohamed Riyadh Baghdadi
