,Title,Authors/Co-Authors
1,"`Data-efficient Performance Modeling via Pre-training <https://arxiv.org/pdf/2501.14438>`_","Riyadh Baghdadi"
2,"`Supporting Dynamic Program Sizes in Deep Learning-Based Cost Models for Code Optimization <https://dl.acm.org/doi/pdf/10.1145/3727638>`_","Riyadh Baghdadi"
3,"`Pearl: Automatic Code Optimization Using Deep Reinforcement Learning <https://arxiv.org/pdf/2506.01880>`_","Riyadh Baghdadi"
4,"`A Polyhedral Quantum Compiler Pass for Code Optimization <https://www.researchgate.net/profile/Marouane-Benbetka/publication/393003481_A_Polyhedral_Quantum_Compiler_Pass_for_Code_Optimization/links/685bcdbe07d6d53e82ee69f3/A-Polyhedral-Quantum-Compiler-Pass-for-Code-Optimization.pdf>`_","Riyadh Baghdadi"
5,"`Using Deep Reinforcement Learning for Automatic Code Optimization in the MLIR Compiler <https://www.researchgate.net/profile/Rafik-Bouloudene/publication/393400911_Title_Using_Deep_Reinforcement_Learning_for_Automatic_Code_Optimization_in_the_MLIR_Compiler/links/6867b72d07b3253fd1cc3ab0/Title-Using-Deep-Reinforcement-Learning-for-Automatic-Code-Optimization-in-the-MLIR-Compiler.pdf>`_","Riyadh Baghdadi"
