,Title,Authors
1,`Myosin VI regulates the spatial organisation of mammalian transcription initiation <https://www.nature.com/articles/s41467-022-28962-w>`_, Tomas Venit
2,`Omicron Spike protein has a positive electrostatic surface that promotes ACE2 recognition and antibody escape <https://www.biorxiv.org/content/biorxiv/early/2022/02/14/2022.02.13.480261.full.pdf>`_,Hin Hark
3,"`Signatures of selection underpinning rapid coral
adaptation to the world’s warmest reefs <https://www.science.org/doi/pdf/10.1126/sciadv.abl7287>`_",Emily J. Howells
4,`Linked-Read Sequencing of Eight Falcons Reveals a Unique Genomic Architecture in Flux <https://www.biorxiv.org/content/biorxiv/early/2022/01/06/2022.01.05.468466.full.pdf>`_,Stéphane Boissinot
5,`Molecular Mechanisms behind Safranal’s Toxicity to HepG2 Cells from Dual Omics <https://www.mdpi.com/2076-3921/11/6/1125/htm>`_,David Nelson 
